мочь:могла:11.758043 ,кромбыть:11.780991 ,моод:12.035506 ,можетбыть:12.094949999999999 ,узнаетбыть:12.410347 ,смочь:12.427335 ,невозможнотец:12.580504999999999 ,могут:12.669633999999999 ,ка́кать:12.761786 ,нет-с:12.848771 ,придумаю:12.913149 ,..мочь:13.009658000000002 ,можешь:13.045394 ,любитбыть:13.099518 ,смогу:13.123012 ,возможнотец:13.182743 ,вполне:13.238289000000002 ,угоднотец:13.246601 ,мог:13.275496 ,суметь:13.27824 ,могли:13.330734999999999 ,инобыть:13.351590999999999 ,мечталовек:13.382031000000001 ,можем:13.386177 ,некстати:13.401535 ,пудать:13.442453 ,по-божески:13.459697000000002 ,моглотец:13.460373 ,позволять:13.466686999999999 ,другобыть:13.479787
видеть:увидать:10.033979 ,видеть:11.049319 ,увидеть:11.600384 ,видать:11.756418 ,разглядеть:12.423816 ,видевать:12.577604000000001 ,узреть:12.683212000000001 ,замечать:12.760355 ,видеться:13.028086000000002 ,проморгаться:13.228399 ,виделовек:13.307776 ,видёть:13.311841999999999 ,идка:13.332408000000001 ,глядят:13.343903000000001 ,узнавать:13.35759 ,увидели:13.387495 ,печигин:13.388490000000001 ,видала:13.422677 ,видела:13.422877 ,примечать:13.458076 ,вспомниловек:13.497702 ,плакал:13.528296000000001 ,слыхалотреть:13.556929 ,видитбыть:13.604231 ,помрачневший:13.637272 ,вижу:13.654304 ,осмыслиться:13.654616 ,закхя:13.657991 ,виденный:13.66939 ,показывать:13.679376
рука:ручонка:11.055127 ,рукою:11.461363 ,руки:11.708305 ,пятерня:12.041068 ,сгибнуть:12.097106 ,ладонь:12.121547 ,палец:12.299152000000001 ,длаень:12.333074 ,руке:12.431951 ,лапища:12.541557000000001 ,пальцемя:12.551137 ,согнувша:12.600933000000001 ,несгибаться:12.619782 ,загипсованный:12.622118 ,ручище:12.644222 ,локоть:12.65087 ,плечотец:12.660300000000001 ,вывертывый:12.662787999999999 ,спинутраница:12.663629 ,ручища:12.669375 ,похолодевший:12.669405000000001 ,еванька:12.721923 ,руку:12.733875 ,обоприться:12.760409 ,рукой:12.785287 ,рукамя:12.787213999999999 ,обопроться:12.791765999999999 ,всуать:12.803818000000001 ,цветухин:12.817516999999999 ,врон:12.830952
давать:дать:8.998367 ,давать:11.899938 ,далийский:12.519131999999999 ,даст:12.876251 ,дайте:12.909588 ,дал:13.153690000000001 ,дай:13.241216 ,давал:13.248351 ,получать:13.710355 ,даваться:13.770901 ,разочтться:13.805207 ,послалийский:13.807296000000001 ,дает:13.935147 ,снабдеть:13.993243 ,дающий:14.009449 ,сделаюотреть:14.185210999999999 ,вразумиться:14.235456 ,огребть:14.252993 ,взяловек:14.254254 ,надавать:14.257370000000002 ,пришлть:14.265072 ,даю:14.267284 ,запросивать:14.272152000000002 ,соберь:14.279739000000001 ,получите:14.289138 ,крадать:14.332155 ,посмотрю:14.349656000000001 ,дают:14.367167 ,дала:14.41601 ,получиловек:14.427012000000001
становиться:делаться:9.933194 ,сделаться:11.406036 ,сталотраница:13.024553999999998 ,стать:13.547182 ,превращаться:13.733064 ,становится:13.898195 ,становиться:13.998352 ,ужасно:14.126002 ,являться:14.134146999999999 ,посягпать:14.506872999999999 ,сталиотреть:14.513677999999999 ,сделаваться:14.63329 ,некрасиво:14.655175 ,разбогатело:14.696172 ,сталоотреть:14.697862 ,уравновешенный:14.701367 ,оказываться:14.7105 ,заложивать:14.760329 ,сделавшиться:14.776208 ,уточниться:14.818368 ,относительно:14.847998999999998 ,предсказуемой:14.939815 ,становящегося:14.978859 ,девальвироваться:14.989680000000002 ,успокоять:15.007145000000001 ,выскажться:15.027628 ,превращать:15.036862 ,отмякнуть:15.037327000000001 ,ставать:15.048406 ,почувствовавший:15.061024
слово:фраза:10.180316 ,словатраница:11.100658 ,словотраница:11.323948 ,словечко:11.473286000000002 ,словтраница:11.594366 ,слов:12.414553999999999 ,произнесенный:12.559099 ,словомтраница:12.640381 ,словотреть:12.82677 ,изречение:12.912917 ,произнесеть:12.964268 ,понимаем:12.986898 ,забавно:13.046693 ,слова:13.050114999999998 ,просторечий:13.076478999999999 ,изнесеть:13.122765 ,словаотреть:13.213089 ,извиняюсь:13.258424 ,словам:13.297066000000001 ,ругательный:13.357597000000002 ,фразы:13.408183999999999 ,слову:13.421266 ,местоименить:13.451516000000002 ,видимо:13.485819 ,произносимый:13.487867999999999 ,пошутил:13.498837 ,фразочка:13.516046999999999 ,слышим:13.516126 ,уразумевать:13.524303 ,словоотреть:13.532909
иметь:иметь:11.949888999999999 ,иметься:12.462199 ,обладать:12.853467 ,лишать:13.462298 ,приобретать:13.531127999999999 ,имей:13.660837 ,придавать:13.771359 ,упускаться:13.796372999999999 ,приобреть:13.984591 ,имею:14.215245 ,имеют:14.247299000000002 ,приобрести:14.272188 ,имели:14.288398999999998 ,наличие:14.308424 ,отсутствие:14.346484 ,придание:14.389354 ,увековечиваться:14.418233999999998 ,переносный:14.433417000000002 ,государственных:14.483372 ,принадлежащеть:14.550875999999999 ,имеет:14.567158 ,располагавший:14.574485 ,неиметь:14.598870999999999 ,неуспешность:14.624611999999999 ,придать:14.652982000000002 ,имѣть:14.65397 ,предосуждений:14.658894 ,принадлежащие:14.674233999999998 ,идеально:14.694323 ,подразделить:14.701958000000001
идти:пойти:9.834706 ,идти:11.462495 ,ихать:12.309231 ,ида:12.549634000000001 ,бежать:13.005994000000001 ,повехать:13.204484 ,брести:13.216396 ,шагавать:13.32562 ,пойдет:13.326753 ,шагать:13.327461 ,плестись:13.349234 ,тащиться:13.387205999999999 ,-шел:13.407555 ,двигаться:13.434035 ,волокаться:13.476283 ,вдать:13.529823 ,плетться:13.641891000000001 ,плетиваться:13.685846000000002 ,двинуться:13.715591 ,подвигаться:13.744148000000001 ,бредуть:13.794139 ,проберешься:13.796959999999999 ,вести:13.831158 ,свернть:13.880087999999997 ,идет:13.886534000000001 ,двигауться:13.892197 ,шествовать:13.906258000000001 ,бредти:13.913316000000002 ,заходить:13.921387000000003 ,продвигаюсь:13.951181
глаз:гектлазар:8.091940000000001 ,глазок:10.951746 ,глазище:11.275071 ,взор:11.383454 ,глазенка:11.476391 ,буркало:11.591597 ,глазик:11.633298 ,выпученный:11.698692000000001 ,взглядомя:11.700667 ,немигающий:11.780581999999999 ,зрачок:11.864498000000001 ,глазамя:11.895741999999998 ,прищура:12.038165 ,смигивать:12.078162 ,неулыбаться:12.153277000000001 ,припухший:12.161646 ,радужок:12.173804 ,ощурить:12.176683999999998 ,око:12.180060000000001 ,заострившимся:12.214445999999999 ,зенки:12.245261 ,щелочки:12.288657 ,смигнуть:12.312167 ,помутнель:12.325645 ,полуопустить:12.329024 ,глаза:12.340189 ,карий:12.353055000000001 ,сощуривать:12.369071 ,зажмурать:12.384066 ,глазынек:12.415588
лицо:лицомя:9.549261999999999 ,физиономия:11.707463 ,лица:11.864532 ,личико:12.019914 ,лицбыть:12.027893 ,лиц:12.399968 ,лицамя:12.679634 ,исхудалый:12.732447999999998 ,лицами:12.952189999999998 ,заострившимся:13.054041 ,лицу:13.178591 ,лице:13.224203000000001 ,лицам:13.291684 ,скуластый:13.376354 ,одутловатость:13.432274 ,побледневать:13.436438 ,синевшый:13.543904999999999 ,личик:13.57787 ,обрюзглый:13.58991 ,брюнета:13.639036999999998 ,лик:13.689702 ,физия:13.701156 ,глазамя:13.727515 ,осунувшийся:13.737594 ,бледностие:13.740186999999999 ,похудевший:13.74287 ,щека:13.7805 ,заискивающый:13.804075000000001 ,нахмурена:13.804103000000001 ,обрюзгать:13.808314
хотеть:захотеть:8.621841 ,желать:10.083556999999999 ,хотеться:10.249094 ,хотеть:11.331201 ,захотеться:11.791160999999999 ,хотите:11.920496 ,хотеловек:12.097123 ,расхотеть:12.158055000000001 ,хотел:12.248323 ,хотить:12.572629 ,скажуотреть:12.576044 ,вздумать:12.582239000000001 ,накуролесить:12.620652 ,захотеловек:12.654869 ,хотели:12.676912 ,набедокурила:12.737603 ,толку:12.743549000000002 ,намереваться:12.76403 ,сделаюотреть:12.800311999999998 ,собираюсь:12.814236000000001 ,захотел:12.816146 ,можем:12.826374999999999 ,можетбыть:12.85537 ,обдумай:12.873771000000001 ,отстань:12.876859 ,любитбыть:12.900694 ,оинать:12.901574 ,возьмут:12.920181 ,клоинать:12.922274 ,захочу:12.922918
место:места:12.077187 ,месте:12.450581 ,местотец:12.950486999999999 ,мест:13.179052 ,местамя:14.129899 ,местечко:14.224136 ,местам:14.276373 ,мѣсто:14.343533999999998 ,местечкотец:14.435286999999999 ,месту:14.63813 ,площадку:14.828239 ,местом:14.884241 ,лежка:14.938730000000001 ,местах:14.95862 ,насиженный:14.971411 ,жительство:15.031629 ,осмотреный:15.116980000000002 ,урема:15.138698 ,освобождаемый:15.139122 ,посещаемый:15.148336999999998 ,вырытый:15.151163 ,уголок:15.159071999999998 ,безопасно:15.161556000000001 ,тарын:15.163314 ,улежать:15.163675999999999 ,ниша:15.165994 ,столомтраница:15.199722999999999 ,главенствующий:15.211584 ,бивуаком:15.212533 ,лядина:15.214161
понимать:понять:10.436313000000002 ,догадываться:10.637246000000001 ,осознавать:10.781618000000002 ,знать:11.172315 ,понимаетбыть:11.651775 ,уразуметь:11.682589 ,сознает:11.827243 ,понимаем:11.928517 ,по-другому:11.987427 ,соображать:12.049945 ,сознавать:12.149546 ,сообразить:12.238444999999999 ,блефовывать:12.414590999999998 ,догадаться:12.514093 ,некстати:12.514989 ,недопонимать:12.58736 ,уяснить:12.592383 ,пойму:12.60172 ,понявший:12.602101999999999 ,растолковать:12.610686999999999 ,получается:12.64521 ,разбираться:12.66611 ,поймешь:12.670334 ,понимаю:12.695594 ,пудать:12.765598999999998 ,сознать:12.809321 ,думать:12.821550000000002 ,сморожать:12.826693 ,уяснять:12.827524 ,думаетбыть:12.869204
смотреть:глядеть:8.941296 ,поглядеть:9.481396 ,взглядывать:10.417143000000001 ,глянуть:10.953367 ,посматривать:11.112757000000002 ,взглянуть:11.307936 ,поглядывать:11.485647 ,уставиться:11.650692999999999 ,разглядывать:12.211772 ,вглядываться:12.379275 ,всматриваться:12.501256000000001 ,оглядывать:12.650217000000001 ,глядить:12.751477999999999 ,посмотреть:12.784618 ,глазеть:13.142151 ,зырк:13.274898 ,смотреть:13.276378999999999 ,глазел:13.306004999999999 ,гнор:13.324086000000001 ,таращиться:13.401845999999999 ,сощуривать:13.424047999999999 ,пялиться:13.452234 ,оглядеть:13.460602 ,поглядевша:13.500678 ,непонимающий:13.560661 ,уставясь:13.562724000000001 ,кириллов:13.563205 ,коситься:13.616591 ,таращить:13.651580000000001 ,впериться:13.675263000000001
работа:работу:11.484575000000001 ,работы:11.563647 ,работать:12.049699 ,работ:12.144905999999999 ,работой:12.382867 ,работе:12.869717 ,деятельность:13.201853000000002 ,работах:13.290876 ,радиоиздание:13.332009999999999 ,инструктирований:13.404847999999998 ,отделочник:13.460563 ,учеба:13.515516 ,культрабовать:13.652773 ,инструктирование:13.677308 ,работник:13.694656000000002 ,кино-передвижка:13.752872 ,разработка:13.797914 ,-график:13.809563 ,разработкой:13.823215000000001 ,приемк:13.853802 ,нагрузки:13.854455 ,рецензирование:13.876031999999999 ,занятие:13.887501000000002 ,переобучение:13.902079 ,культработник:13.929124999999999 ,галочки:13.929576 ,организаторский:13.951952 ,проработка:13.964865 ,предприятием:13.979589 ,профориентация:13.984894999999998
казаться:показаться:10.933298999999998 ,казаться:11.94922 ,представляться:11.953088999999999 ,чудиться:11.979053 ,показываться:12.000551999999999 ,казаваться:12.823724 ,печигин:12.887231 ,сонтраница:13.153112 ,думаться:13.161426 ,оказываться:13.307592 ,осмыслиться:13.470053 ,идка:13.472487000000001 ,казавшться:13.520619 ,помолодевший:13.524381 ,показалося:13.547452 ,слаботреть:13.627628000000001 ,неуловимый:13.635098999999999 ,воображать:13.642824 ,причудиться:13.649054 ,всепонимающий:13.66219 ,думать:13.696155000000001 ,знакома:13.705359999999999 ,скрытный:13.721874999999999 ,проговорка:13.734530000000001 ,харитина:13.739640000000001 ,нелепотец:13.756922 ,влюбился:13.768218000000001 ,болезненный:13.787015999999998 ,инобыть:13.794319999999999 ,кружений:13.809035999999999
писать:написать:8.963467000000001 ,писать:11.201419999999999 ,напиши:11.381389 ,сочинять:11.596403 ,писаловек:11.655677 ,писывать:11.760484 ,писаться:11.780813 ,написал:11.878839 ,полстраничка:12.044018999999999 ,напишать:12.063587 ,печатать:12.108699 ,напечатать:12.228543 ,читать:12.252384 ,пиша:12.269146000000001 ,пишу:12.282807 ,напишу:12.301135 ,прочтенный:12.346831 ,прочитывать:12.429419 ,дописать:12.434657000000001 ,переписывать:12.467397 ,дописываться:12.514845999999999 ,написаловек:12.554077 ,письмотец:12.613709 ,заметках:12.631134 ,пересылай:12.644759999999998 ,читала:12.651752 ,вестн[ика:12.657962 ,писали:12.663855 ,прочтить:12.680275 ,полууставо:12.69755
голова:башка:10.720404 ,гектоловар:10.804020000000001 ,голову:11.398489000000001 ,головенка:11.632444 ,головбыть:12.155861 ,головенкий:12.557011999999999 ,взлохмачеть:12.645863 ,черепункт:12.663098999999999 ,коленотец:12.667576 ,головой:12.77767 ,головка:12.868694 ,лобль:12.8875 ,чуприна:12.993516999999999 ,макуша:13.061917 ,затылок:13.068615 ,ай-я-яй:13.085837999999999 ,легиар:13.099228999999998 ,буйн:13.111306 ,набок:13.114963999999999 ,спинутраница:13.186637000000001 ,тряхнуться:13.199512 ,поматывать:13.213498999999999 ,бошка:13.22053 ,позевивать:13.248346 ,надвинувать:13.265846 ,головенок:13.268869 ,затрясать:13.343839 ,сронять:13.351213999999999 ,мурлыкнуть:13.351841 ,заплеться:13.379522
оставаться:остаться:10.381156 ,оставлять:10.394949 ,оставить:13.121966 ,сохраняться:13.290932 ,остающийся:14.111575 ,оказываться:14.226144000000001 ,сохранять:14.374237 ,побыать:14.462326999999998 ,осталосить:14.47909 ,уцелеть:14.581641000000001 ,оставили:14.585291 ,оставивший:14.588633 ,останется:14.603361999999997 ,нахождаться:14.655121000000001 ,возьмут:14.667914 ,задержимся:14.686757 ,оставилийский:14.731581 ,оставаться:14.745027 ,осталось:14.751688 ,перемолоть:14.83331 ,выйщать:14.839155 ,зачахть:14.860171999999999 ,-здорова:14.892625 ,находиться:14.908612 ,потоать:14.926488999999998 ,пробыть:14.927364 ,пробывать:14.939277 ,выстоить:14.946622000000001 ,чичеронбыть:14.955825 ,остались:14.958807
сторона:сторонтраница:12.42315 ,сторонамтраница:13.304441 ,сторону:13.380412 ,вбок:13.809445 ,сторонетраница:13.846971 ,влевотец:13.864808999999997 ,сторон:14.055063 ,сторонутраница:14.08664 ,стороны:14.16087 ,стороной:14.181275 ,ограждали:14.186997 ,дверямя:14.247989 ,направление:14.299712 ,раздвояться:14.371944 ,полз:14.499922000000002 ,издевательствы:14.516269999999999 ,обезопашать:14.521515 ,спорящий:14.530269 ,повернутать:14.535880999999998 ,преграждение:14.60011 ,поворот:14.630696 ,поднимающться:14.638390000000001 ,налевотец:14.664324 ,отлого:14.680523 ,направлениях:14.701249 ,подпираемый:14.703469 ,отлогой:14.712123 ,сектора:14.715693 ,баррикадый:14.724353999999998 ,парламентера:14.743359000000002
друг:дружка:9.511765 ,друга:11.447503000000001 ,другу:11.616795 ,другомя:12.317488999999998 ,-приятель:12.626512000000002 ,приятель:13.058036000000001 ,тузить:13.171258000000002 ,друге:13.211332 ,-друг:13.288630999999999 ,притерться:13.312284 ,понравитесь:13.318079000000001 ,противореч:13.439708000000001 ,другом:13.524555 ,подсиживать:13.620877 ,полувзгляд:13.639939 ,единомыслить:13.64061 ,мутузить:13.659965 ,взаимодополнять:13.691758 ,соратник:13.697547 ,позабухать:13.794744 ,пожмть:13.796831999999998 ,взаимопроникать:13.812431 ,близкие:13.877467 ,послеживать:13.901148000000001 ,перекоряться:13.950309999999998 ,обниматься:13.955585000000001 ,друг-друг:13.992191 ,подруод:14.006557999999998 ,лобызаться:14.010454 ,любили:14.014842999999999
спрашивать:переспросить:10.186181 ,осведомляться:10.289184 ,осведомиться:11.370138 ,полюбопытствовать:11.533593 ,поинтересоваться:11.585196 ,допытываться:11.750703999999999 ,сказать:11.976201 ,спросить:12.240448999999998 ,-спросить:12.279456 ,полюбопытствовал:12.307770000000001 ,расспрашивать:12.344932 ,вопросить:12.396256000000001 ,проговаривать:12.440815 ,скажитеотреть:12.595348000000001 ,окликать:12.675219 ,проговорить:12.734874999999999 ,расспроси:12.850112 ,выспрашивать:12.872227 ,молчаловек:12.896211000000001 ,спрашивать:12.908015000000002 ,зотов:13.001951 ,-отвечать:13.019624 ,крикнуть:13.046510999999999 ,помрачнев:13.068581 ,интересоваться:13.080772 ,скажит:13.094930999999999 ,поглядевша:13.095763999999999 ,поговорю:13.120693999999999 ,отвечать:13.121969 ,распечь:13.189105
думать:подумать:9.678277000000001 ,думалийский:10.576288 ,думаться:10.925721 ,размышлять:11.071966 ,думаловек:11.360456000000001 ,придумаю:11.592400999999999 ,соскучаться:11.732609 ,помру:11.74688 ,скажуотреть:11.764282000000001 ,свете-вать:11.8017 ,фатюев:11.917114999999999 ,ужасти:11.977607 ,вам-то:11.997783000000002 ,жил-живать:12.015533999999999 ,придумаловек:12.030946 ,трусяча:12.043645000000001 ,замолча:12.049527 ,дальше-то:12.054419 ,..мочь:12.071082 ,некстати:12.081249 ,придумаеться:12.094964999999998 ,уеду:12.101804 ,свяжеться:12.111013 ,впрочемя:12.115521000000001 ,накуролесить:12.116134 ,разойдиваться:12.130322 ,иначй-то:12.176181 ,встретимся:12.181839 ,думаетбыть:12.196164 ,соображать:12.202403
брать:взять:8.666310000000001 ,забрать:12.740552000000001 ,взяловек:12.904854 ,бирать:12.971029999999999 ,забирать:13.052803999999998 ,схватывать:13.080426000000001 ,браться:13.421365000000002 ,схватить:13.44835 ,взявший:13.471333999999999 ,заберть:13.529717 ,махинать:13.573675999999999 ,загре:13.655835999999999 ,доставать:13.685155 ,подерживать:13.700354999999998 ,беру:13.781347 ,брать:13.807709 ,держать:13.843285999999999 ,верень:13.848182000000001 ,возьй:13.87705 ,достать:13.954489 ,пошукать:13.959275 ,принесятина:13.975137 ,украловек:14.004950999999998 ,занес:14.009063000000001 ,возьму:14.026954 ,возьмут:14.029834000000001 ,получите:14.0527 ,захвативша:14.070918 ,сграбастать:14.074486 ,наскресть:14.089018999999999
начинать:стать:9.420444999999999 ,начать:9.97169 ,приниматься:11.731962000000001 ,продолжать:12.067881 ,переставать:12.811563 ,приняться:13.167249 ,начинать:13.466954999999999 ,струнников:14.095256000000001 ,снутраница:14.111336000000001 ,начинаться:14.148249 ,началовек:14.219449999999998 ,разлениться:14.428984 ,шалили:14.448457 ,изматываться:14.464191 ,перестать:14.511880999999999 ,разгуливаться:14.522647 ,десятница:14.529464 ,отучаться:14.561181999999999 ,зачать:14.568693999999999 ,полегоньку:14.570530999999999 ,прошелент:14.600768000000002 ,приободряться:14.606326 ,лёся:14.608426999999999 ,приступать:14.649572 ,раньшбыть:14.699388 ,утихало:14.718042999999998 ,утихомирять:14.7332 ,гримасничало:14.734742 ,этапункт:14.739578 ,поматывый:14.739880999999999
